question_content,answer_content,box_number,last_reviewed
"Signification de l'acronyme FM|","FM Modulation de fréquence|",32,2025-05-03
"Signification de l'acronyme FO(LWL)|","FO Fibre optique(Lichtwellenleiter)|",33,2025-05-03
"Signification de l'acronyme FSK|","FSK Frequency Shift Keying|",34,2025-05-03
"Signification de l'acronyme FTP|","FTP Foiled Twisted Pair|",35,2025-05-03
"Signification de l'acronyme FTTH /D /S /C|","FTTC Fiber to the curb (Fibre jusqu'au trottoir)/FTTS Fiber to the street (Fibre jusqu'à la rue - bâtiment)/FTTN Fiber to the neighbourhood (Fibre jusqu'au quartier)/FTTB Fiber to the building (Fibre jusqu'au bâtiment)/FTTCab Fiber to the cab (Fibre jusqu'au sous-répartiteur)/FTTP Fiber to the premises (Fibre jusqu'aux locaux - entreprises)/FTTH Fiber to the home (Fibre jusqu'au domicile)/FTTE Fibre to the enterprise (Fibre pour les entreprises)/FTTO Fiber to the office (Fibre jusqu'au bureau - entreprises)/FTTLA Fiber to the last amplifier (Fibre jusqu'au dernier amplificateur)|images_reponses/FTTX-fr.svg.png",36,2025-05-03
"Signification de l'acronyme G.fast|","G.fast Successeur de VDSL2 Vectoring (jusqu'à 1 Gbit/s)|",37,2025-05-03
"Signification de l'acronyme GPRS|","GPRS General Packet Radio Service ⇒ GSM|",38,2025-05-03
"Signification de l'acronyme GSM|","GSM Global System for Mobile Communication|",39,2025-05-03
"Signification de l'acronyme HAK(BEP)|","Hausanschlusskasten(BEP Building Entry Point pour fibre optique)|",40,2025-05-03
"Signification de l'acronyme HUP|","HUP : Hausübergabepunkt (Point de transfert dans le bâtiment)|",41,2025-05-03
"Signification de l'acronyme HDLS|","HDLS High Data Rate Digital Subscriber Line|",42,2025-05-03
"Signification de l'acronyme HTTP|","HTTP Hypertext Transfer Protocol|",43,2025-05-03
"Signification de l'acronyme HiFi|","HiFi High Fidelity|",44,2025-05-03
"Signification de l'acronyme ICT|","ICT Information and Communication Technologies|",45,2025-05-03
"Signification de l'acronyme IP|","IP Protocole Internet|",46,2025-05-03
"Signification de l'acronyme ISP(FAI)|","ISP Internet Service Provider/FAI Fournisseur d'accès à Internet (Swisscom, Sunrise, …)|",47,2025-05-03
"Signification de l'acronyme KNX|","KNX Successeur de l'EIB|",48,2025-05-03
"Signification de l'acronyme LAN|","LAN Local Area Network|",49,2025-05-03
"Signification de l'acronyme LIE|","LIE Loi sur les installations électriques (RS734.0)|",50,2025-05-03
"Signification de l'acronyme LNB|","LNB Low Noise Block Converter|",51,2025-05-03
"Signification de l'acronyme LNC|","LNC Low Noise Converter|",52,2025-05-03
"Signification de l'acronyme LTC|","LTC Loi sur les télécommunications (RS784.10)|",53,2025-05-03
"Signification de l'acronyme LTE|","LTE Long Term Evolution (standard 4G+ jusqu'à 1 Gbit/s)|",54,2025-05-03
"Signification de l'acronyme LWL(FO)|","LWL Lichtwellenleiter(FO Fibre optique)|",55,2025-05-03
"Signification de l'acronyme NAG|","NAG Unité de terminaison du réseau|",56,2025-05-03
"Signification de l'acronyme NAS|","NAS Network Attached Storage|",57,2025-05-03
"Signification de l'acronyme NEXT|","NEXT Near End Crosstalk (paradiaphonie ou diaphonie locale)|",58,2025-05-03
"Signification de l'acronyme NTP|","NTP Network Termination Point|",59,2025-05-03
"Signification de l'acronyme NTS|","NTS Point de coupure du réseau|",60,2025-05-03
"Signification de l'acronyme OFCOM|","OFCOM Office fédéral de la communication|",61,2025-05-03
"Signification de l'acronyme OM|","OM Optical Multimode|",62,2025-05-03
"Signification de l'acronyme ONT|","ONT Optical Network Termination ( FO ⇒ Cu )|",63,2025-05-03
"Signification de l'acronyme OS|","OS Optical Single Mode|",64,2025-05-03
"Signification de l'acronyme OSI|","OSI Open Systems Interconnection|",65,2025-05-03
"Signification de l'acronyme OTDR|","OTDR Optical Time Domain Reflectrometry|",66,2025-05-03
"Signification de l'acronyme OTO|","OTO Optical Telecommunications Outlet|",67,2025-05-03
"Signification de l'acronyme PBX|","PBX Private Branch Exchange (voir ACU)|",68,2025-05-03
"Signification de l'acronyme PCM|","PCM Pulse Code Modulation|",69,2025-05-03
"Signification de l'acronyme PoE|","PoE Power over Ethernet|",70,2025-05-03
"Signification de l'acronyme POF|","POF Plastic Optical Fibre|",71,2025-05-03
"Signification de l'acronyme POP|","POP Point of Presence|",72,2025-05-03
"Signification de l'acronyme POTS|","POTS Plain Old Telephony System (le bon vieux service téléphonique)|",73,2025-05-03
"Signification de l'acronyme PSK|","PSK Phase Shift Keying|",74,2025-05-03
"Signification de l'acronyme PSTN|","PSTN Public Switched Telephone Network (réseau téléphonique public commuté)|",75,2025-05-03
"Signification de l'acronyme PU|","PU Prise d'usagers (câble coaxial)|",76,2025-05-03
"Signification de l'acronyme QAM|","QAM Quadrature Amplitude Modulation|",77,2025-05-03
"Signification de l'acronyme QoS|","QoS Quality of Service|",78,2025-05-03
"Signification de l'acronyme RAM|","RAM Random-Access Memory|",79,2025-05-03
"Signification de l'acronyme RB|","RB Répartiteur de bâtiment|",80,2025-05-03
"Signification de l'acronyme RE|","RE Répartiteur d'étage|",81,2025-05-03
"Signification de l'acronyme RI|","RI Répartiteur intermédiaire|",82,2025-05-03
"Signification de l'acronyme RP|","RP Répartiteur principal|",83,2025-05-03
"Signification de l'acronyme RR|","RR Répartiteur réseau|",84,2025-05-03
"Signification de l'acronyme SIM|","SIM Subscriber Identity Module (carte SIM)|",85,2025-05-03
"Signification de l'acronyme SIP|","SIP Session Initiation Protocol|",86,2025-05-03
"Signification de l'acronyme SIP-Trunk|","SIP-Trunk Plusieurs numéros d'appel sous un seul compte IP|",87,2025-05-03
"Signification de l'acronyme SMS|","SMS Service de messages courts GSM|",88,2025-05-03
"Signification de l'acronyme SOHO|","SOHO Small Office and Home|",89,2025-05-03
"Signification de l'acronyme STP|","STP Shielded Twisted Pair|",90,2025-05-03
"Signification de l'acronyme SÜS|","SÜS Point de transfert de signal|",91,2025-05-03
"Signification de l'acronyme TA|","TA Terminal Adapter|",92,2025-05-03
"Signification de l'acronyme TCP/IP|","TCP/IP Transmission Control Protocol over IP|",93,2025-05-03
"Signification de l'acronyme TDM|","TDM Time Division Multiplex|",94,2025-05-03
"Signification de l'acronyme TE|","TE Terminal Equipment|",95,2025-05-03
"Signification de l'acronyme TP|","TP Twisted Pair|",96,2025-05-03
"Signification de l'acronyme UDP|","UDP User Datagram Protocol|",97,2025-05-03
"Signification de l'acronyme UMTS|","UMTS Universal Mobile Telecommunication System|",98,2025-05-03
"Signification de l'acronyme USB|","USB Universal Serial Bus|",99,2025-05-03
"Signification de l'acronyme USV|","USV Onduleur|",100,2025-05-03
"Signification de l'acronyme UTP|","UTP Unshielded Twisted Pair|",101,2025-05-03
"Signification de l'acronyme VDSL|","VDSL Very high data rate Digital Subscriber Line|",102,2025-05-03
"Signification de l'acronyme VoIP|","VoIP Voice over IP|",103,2025-05-03
"Signification de l'acronyme VPN|","VPN Virtual Private Network|",104,2025-05-03
"Signification de l'acronyme WiFi Calling|","WiFi Calling Réseau mobile par WLAN|",105,2025-05-03
"Signification de l'acronyme WiFi|","WiFi Wireless Fidelity|",106,2025-05-03
"Signification de l'acronyme WLAN|","WLAN Wireless Local Area Network|",107,2025-05-03
"Quelles sont les principales catégories d’installations électriques selon leur niveau de tension, et comment distingue-t-on une installation à courant faible d’une installation à très basse tension ?|","Les différentes plages de tension sont subdivisées en: – installations à haute tension: tensions alternatives > 1000 V AC, tensions continues > 1500 V DC – installations à basse tension (plage de tension II) > 120 V à 1500 V DC – installations à très basse tension (plage de tension I) ≤ 50 V à < 120 V DC – les installations à courant faible: il s’ agit d’ installations électriques qui normalement ne conduisent pas de courants qui peuvent mettre la vie des personnes en danger ou provoquer des dommages aux biens. Dans la pratique, il s’ agit d’ installations de tensions ≤ 50 V et de courants ≤ 2 A. Les tensions < 50 V sont généralement considérées comme inoffensives et 100 W ne sont normalement pas suffisants pour provoquer un incendie (2 A × 50 V).|",108,2025-05-06
